Name,Path
Corp,"DC=jamieson,DC=local"
Departments,"OU=Corp,DC=jamieson,DC=local"
Sales,"OU=Departments,OU=Corp,DC=jamieson,DC=local"
HR,"OU=Departments,OU=Corp,DC=jamieson,DC=local"
IT,"OU=Departments,OU=Corp,DC=jamieson,DC=local"
Finance,"OU=Departments,OU=Corp,DC=jamieson,DC=local"
Users,"OU=IT,OU=Departments,OU=Corp,DC=jamieson,DC=local"
Computers,"OU=IT,OU=Departments,OU=Corp,DC=jamieson,DC=local"
Users,"OU=HR,OU=Departments,OU=Corp,DC=jamieson,DC=local"
Computers,"OU=HR,OU=Departments,OU=Corp,DC=jamieson,DC=local"
Users,"OU=Finance,OU=Departments,OU=Corp,DC=jamieson,DC=local"
Computers,"OU=Finance,OU=Departments,OU=Corp,DC=jamieson,DC=local"
Users,"OU=Sales,OU=Departments,OU=Corp,DC=jamieson,DC=local"
Computers,"OU=Sales,OU=Departments,OU=Corp,DC=jamieson,DC=local"
